datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2024-09-24,82.3,73.3,75.6,69.4,81.9,10.3,207.7,1015.1,81.2,15.3,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.46484204572461923,-0.885393625754416,-392.1268045119171,0.012399999999999977,6.403099999999989
2024-09-25,80.5,67.9,73.9,68.3,83.4,8.1,235.3,1015.4,88.0,8.2,0.8,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.8221440410307376,-0.569279523430844,-555.3911854779044,0.011200000000000017,5.735400000000008
2024-09-26,75.1,67.9,72.3,68.4,88.2,9.2,110.0,1014.7,88.0,4.3,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9396926207859084,-0.3420201433256687,762.5041802105175,0.007799999999999983,4.034699999999991
2024-09-27,67.9,64.3,66.0,66.0,100.0,6.9,86.1,1015.9,95.5,1.2,97.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9976842788356053,0.06801529066524821,688.4021523965677,0.0,0.060900000000000065
2024-09-28,66.1,62.5,64.2,64.1,99.9,5.8,71.9,1016.3,96.5,1.4,164.3,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9505157316277837,0.3106764296307317,550.7478252197704,0.00020000000000001706,0.15130000000000854
2024-09-29,78.7,62.5,69.7,65.3,87.0,9.2,259.2,1017.0,79.0,16.9,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.9822872507286887,-0.18738131458572463,-786.2227154832424,0.008800000000000011,4.627000000000005
2024-09-30,80.5,66.1,72.4,67.9,87.3,10.3,272.7,1015.2,68.0,15.2,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.99888987496197,0.04710645070964221,-898.1917866670539,0.009,4.8352
2024-10-01,84.1,69.7,75.3,69.8,84.3,11.4,261.5,1012.8,63.3,15.7,0.0,10,Autumn,-0.8660254037844386,0.5000000000000001,4,-0.9510565162951536,0.30901699437494723,-0.9890158633619168,-0.14780941112961046,-950.4640250080693,0.011,5.8798
2024-10-02,82.3,71.5,75.7,70.2,84.1,15.0,222.0,1012.4,82.8,15.7,1.0,10,Autumn,-0.8660254037844386,0.5000000000000001,4,-0.9510565162951536,0.30901699437494723,-0.6691306063588582,-0.7431448254773942,-844.1082599216995,0.011,5.684399999999999
2024-10-03,80.5,67.9,73.6,69.0,86.7,10.3,219.9,1013.0,80.6,7.7,4.6,10,Autumn,-0.8660254037844386,0.5000000000000001,4,-0.9510565162951536,0.30901699437494723,-0.6414496315691579,-0.7671651518152995,-572.8209354875737,0.00919999999999999,4.806999999999994
